ClientName,Latitude,Longitude,ClusterNumber,centroids,UniqueClusterID
William Shaw,11.0226805,77.0073543,2,[11.00793952 77.00711148],C_2
William Meyer,11.0400966,76.9375028,4,[11.03458701 76.96008318],C_4
Tamara Nguyen,10.9033965,76.9632194,0,[10.90632173 76.96935831],C_0
Tracy Bush,11.0288076,76.9862498,4,[11.03458701 76.96008318],C_4
Vicki Moore,11.0266,76.9676833,4,[11.03458701 76.96008318],C_4
Ann Frank,11.0806127,77.035534,5,[11.06430224 77.0049296 ],C_5
Gregory Reeves,11.0228275,76.9070018,3,[11.02518256 76.91014288],C_3
Debra Dixon,11.0073061,77.0637189,7,[11.0320363  77.05078642],C_7
Justin Weber,10.9934031,76.9581201,1,[10.99032947 76.94906085],C_1
Joyce Steele,10.9942425,76.9672619,1,[10.99032947 76.94906085],C_1
John Cisneros,11.0229317,76.9466861,4,[11.03458701 76.96008318],C_4
Toni Hawkins,10.9942998,76.933517,1,[10.99032947 76.94906085],C_1
Jordan Lewis,10.920769,76.9760074,0,[10.90632173 76.96935831],C_0
Linda Brown,11.0463472,76.9980043,5,[11.06430224 77.0049296 ],C_5
Katie Small,11.009616,77.0265946,2,[11.00793952 77.00711148],C_2
Charles Estrada,11.0277433,77.0175833,2,[11.00793952 77.00711148],C_2
Sara Potter,10.9773367,77.0340153,2,[11.00793952 77.00711148],C_2
Sandra Thomas,10.9976381,76.95744,1,[10.99032947 76.94906085],C_1
Dr. Brandon Powers,10.9915382,76.9439075,1,[10.99032947 76.94906085],C_1
Cynthia Walter,10.9960609,76.9580078,1,[10.99032947 76.94906085],C_1
Isaiah Mcbride,10.9606433,76.9725802,6,[10.95437625 76.97053033],C_6
Stephanie Poole,10.9544762,76.9922218,6,[10.95437625 76.97053033],C_6
Willie Kelly,11.0148343,76.9097841,3,[11.02518256 76.91014288],C_3
Michael Andersen,10.9616914,76.9715469,6,[10.95437625 76.97053033],C_6
Jessica Wheeler,11.0260106,77.0189843,2,[11.00793952 77.00711148],C_2
Kathryn Holder,10.959917,76.9818522,6,[10.95437625 76.97053033],C_6
Brett Watkins,11.0375978,77.0371587,7,[11.0320363  77.05078642],C_7
Melissa Ramirez,11.035126,76.9802906,4,[11.03458701 76.96008318],C_4
Julie Mcintyre,10.9946151,76.9943049,2,[11.00793952 77.00711148],C_2
David Rodriguez,11.0325124,76.941147,4,[11.03458701 76.96008318],C_4
Aaron Barrera,11.0462589,76.9502312,4,[11.03458701 76.96008318],C_4
Katie Mckinney,10.9954194,76.9579652,1,[10.99032947 76.94906085],C_1
Benjamin Cantu,10.9915208,76.9411581,1,[10.99032947 76.94906085],C_1
Lisa Allen,10.9673745,77.0071771,6,[10.95437625 76.97053033],C_6
Nicole Garcia,11.0360793,76.9220818,3,[11.02518256 76.91014288],C_3
Colton Perez,11.0257042,76.9728934,4,[11.03458701 76.96008318],C_4
Nathan Morton,11.0606842,77.0026057,5,[11.06430224 77.0049296 ],C_5
Lucas Sanders,11.0834649,76.9821403,5,[11.06430224 77.0049296 ],C_5
Teresa Bell,11.0478444,76.9598065,4,[11.03458701 76.96008318],C_4
Melanie Adams,11.0019703,76.9908974,2,[11.00793952 77.00711148],C_2
Kevin Perry,10.9922679,76.9504429,1,[10.99032947 76.94906085],C_1
Robin Bennett,10.9967453,76.9512996,1,[10.99032947 76.94906085],C_1
Benjamin Ochoa,11.1017701,76.9964955,5,[11.06430224 77.0049296 ],C_5
Shannon Moore,11.0878608,77.0091426,5,[11.06430224 77.0049296 ],C_5
April Weaver,11.0314466,76.9870586,4,[11.03458701 76.96008318],C_4
Brandy Spencer,10.9785602,76.9687564,1,[10.99032947 76.94906085],C_1
Andrew Jackson,10.9662443,77.0026882,6,[10.95437625 76.97053033],C_6
Gabriel Carr,11.0493759,76.9673608,4,[11.03458701 76.96008318],C_4
Jessica Patterson,11.041249,76.999011,5,[11.06430224 77.0049296 ],C_5
Alec Hernandez,11.0015992,76.9563896,1,[10.99032947 76.94906085],C_1
Kelly Nelson,11.0035903,76.9938911,2,[11.00793952 77.00711148],C_2
Courtney Campbell,10.9962898,76.9410271,1,[10.99032947 76.94906085],C_1
Christina Miles,10.9934023,76.9577289,1,[10.99032947 76.94906085],C_1
Edward Shannon,11.0258464,76.9513048,4,[11.03458701 76.96008318],C_4
Whitney Berry,11.0117444,77.0060589,2,[11.00793952 77.00711148],C_2
Amanda Collier,11.0247857,76.9052493,3,[11.02518256 76.91014288],C_3
Thomas Davis,11.0077993,77.0149901,2,[11.00793952 77.00711148],C_2
Deborah Conner,10.996049,76.9870921,2,[11.00793952 77.00711148],C_2
Dustin Munoz,11.0134535,76.9835944,2,[11.00793952 77.00711148],C_2
Charles Collins,10.9920677,76.9634099,1,[10.99032947 76.94906085],C_1
Marie Harvey,10.9916653,76.9487463,1,[10.99032947 76.94906085],C_1
Sarah Johnson,11.0248086,76.90482,3,[11.02518256 76.91014288],C_3
Miss Gwendolyn Parrish MD,10.9676057,76.9017175,1,[10.99032947 76.94906085],C_1
Michael Thomas,11.0229001,77.0177356,2,[11.00793952 77.00711148],C_2
Mr. Charles Johnson,11.078155,77.037077,5,[11.06430224 77.0049296 ],C_5
Justin Bennett,10.9943607,76.9674513,1,[10.99032947 76.94906085],C_1
Stacey Lee,10.9602164,76.9726115,6,[10.95437625 76.97053033],C_6
Cynthia Blanchard,11.0125674,76.9502941,1,[10.99032947 76.94906085],C_1
Jerry Greene,10.9920008,76.9950638,2,[11.00793952 77.00711148],C_2
Jennifer Rios,11.007602,76.9114376,3,[11.02518256 76.91014288],C_3
Kathleen Rowland,11.0792294,77.0378397,5,[11.06430224 77.0049296 ],C_5
Jeffrey Parsons,11.039982,77.0016845,5,[11.06430224 77.0049296 ],C_5
Wendy Chang,10.9820079,76.9654073,1,[10.99032947 76.94906085],C_1
John Franklin,11.0033251,76.950327,1,[10.99032947 76.94906085],C_1
Laurie Thomas,11.0306826,76.9622785,4,[11.03458701 76.96008318],C_4
Audrey Richards,11.0084947,76.9649854,1,[10.99032947 76.94906085],C_1
Victoria Montgomery,10.9940565,76.95764,1,[10.99032947 76.94906085],C_1
Annette Norris,11.0364869,76.9806717,4,[11.03458701 76.96008318],C_4
Gwendolyn Coleman,10.9975881,76.9575791,1,[10.99032947 76.94906085],C_1
Samantha Sparks,10.9942351,76.9581631,1,[10.99032947 76.94906085],C_1
Nicole Romero,11.0414266,76.9971921,5,[11.06430224 77.0049296 ],C_5
Alison Gonzalez,11.0536493,77.0390625,7,[11.0320363  77.05078642],C_7
Emily Flores,10.991533,76.9411662,1,[10.99032947 76.94906085],C_1
Maria Henderson,11.0620148,77.0025901,5,[11.06430224 77.0049296 ],C_5
Laura Campbell,10.9648054,76.9873079,6,[10.95437625 76.97053033],C_6
Jacob Nguyen,10.9987353,77.0564323,7,[11.0320363  77.05078642],C_7
Damon Shah,11.0038206,76.9927446,2,[11.00793952 77.00711148],C_2
Jack Stark,11.0324296,76.960365,4,[11.03458701 76.96008318],C_4
Sharon Durham,10.9435022,76.9529777,6,[10.95437625 76.97053033],C_6
Danielle Adams,10.9616979,76.9713864,6,[10.95437625 76.97053033],C_6
Monica Phillips,10.9909547,76.9386831,1,[10.99032947 76.94906085],C_1
Jeffrey Fisher,11.0115969,77.0073114,2,[11.00793952 77.00711148],C_2
Elizabeth Anderson,11.0406311,76.9806876,4,[11.03458701 76.96008318],C_4
Connor Day,10.9399058,77.016037,6,[10.95437625 76.97053033],C_6
Mary Jones,11.0272191,76.947049,4,[11.03458701 76.96008318],C_4
Natalie Moon DDS,10.9441414,76.9362286,6,[10.95437625 76.97053033],C_6
Scott Owens,11.0789578,77.003791,5,[11.06430224 77.0049296 ],C_5
Sheri Rodriguez,11.0066385,76.9970367,2,[11.00793952 77.00711148],C_2
Matthew Terry,11.0099967,77.03724,7,[11.0320363  77.05078642],C_7
Jacob Orozco,10.9791912,77.0333858,2,[11.00793952 77.00711148],C_2
Megan Bell,10.9923909,76.9488087,1,[10.99032947 76.94906085],C_1
Karen Johnson,11.0075635,77.0314535,2,[11.00793952 77.00711148],C_2
Anthony Harvey,11.0135604,76.9834752,2,[11.00793952 77.00711148],C_2
Miguel Murillo,11.028636,76.9965872,2,[11.00793952 77.00711148],C_2
Kenneth Perez,10.986792,76.9355748,1,[10.99032947 76.94906085],C_1
Joe Kirk,11.0791876,77.0028612,5,[11.06430224 77.0049296 ],C_5
Mark James,11.0272414,76.9609111,4,[11.03458701 76.96008318],C_4
Scott Davis,11.0550557,77.0471285,7,[11.0320363  77.05078642],C_7
Timothy Smith,11.0379955,76.924019,3,[11.02518256 76.91014288],C_3
Rhonda Pitts,11.0364283,76.929812,3,[11.02518256 76.91014288],C_3
Kyle Lawson,11.0510934,77.0388673,7,[11.0320363  77.05078642],C_7
William Farrell,11.0596845,76.9454333,4,[11.03458701 76.96008318],C_4
Ronald Smith,11.0084672,77.0650759,7,[11.0320363  77.05078642],C_7
Mark Greer,11.0556808,77.0162219,5,[11.06430224 77.0049296 ],C_5
Linda Taylor,11.0447734,76.9440682,4,[11.03458701 76.96008318],C_4
Gregory Rowe,10.9913455,76.9499919,1,[10.99032947 76.94906085],C_1
Lori Johnson,11.0473561,76.9895544,5,[11.06430224 77.0049296 ],C_5
Charles Taylor,11.043274,76.9452043,4,[11.03458701 76.96008318],C_4
Tyler Rivas,11.0150985,77.0258159,2,[11.00793952 77.00711148],C_2
Timothy Stewart,11.1135493,76.9923821,5,[11.06430224 77.0049296 ],C_5
Linda Ford,10.9907226,76.9551596,1,[10.99032947 76.94906085],C_1
Joseph Dean,11.0529448,77.0388664,7,[11.0320363  77.05078642],C_7
Shannon Jackson,10.9676696,76.94739,1,[10.99032947 76.94906085],C_1
Heather Martinez,11.0399702,76.995365,5,[11.06430224 77.0049296 ],C_5
Mercedes Fry,11.0053873,77.0486395,7,[11.0320363  77.05078642],C_7
Justin Hernandez,11.0331786,76.9312765,3,[11.02518256 76.91014288],C_3
Lisa Willis,10.9930724,76.9428294,1,[10.99032947 76.94906085],C_1
Meagan Hatfield,11.0185241,76.9743055,4,[11.03458701 76.96008318],C_4
Latoya Powers,11.0301644,77.0026463,2,[11.00793952 77.00711148],C_2
Justin Williamson,11.0595856,76.9441281,4,[11.03458701 76.96008318],C_4
James Le,11.0650167,76.9411662,4,[11.03458701 76.96008318],C_4
Larry Mann,11.0340829,76.9745676,4,[11.03458701 76.96008318],C_4
Mrs. Lori Cole,11.0403115,76.9936916,5,[11.06430224 77.0049296 ],C_5
Cassandra Dickerson,11.0738297,77.0121377,5,[11.06430224 77.0049296 ],C_5
Dr. Anthony Cruz MD,11.0024277,76.9075271,3,[11.02518256 76.91014288],C_3
Aaron Thompson,11.0600531,76.9313386,4,[11.03458701 76.96008318],C_4
Raymond Smith DVM,11.0521636,77.0387522,7,[11.0320363  77.05078642],C_7
Tammy Vasquez,10.998676,76.9520617,1,[10.99032947 76.94906085],C_1
Diane Turner,11.04507,76.9405,4,[11.03458701 76.96008318],C_4
Stephen Carney,11.0284401,76.9006123,3,[11.02518256 76.91014288],C_3
David Hansen,11.0128495,76.9424121,1,[10.99032947 76.94906085],C_1
Rhonda Foster,10.9992363,76.9920108,2,[11.00793952 77.00711148],C_2
Andrew Wolfe,11.0042271,76.9957366,2,[11.00793952 77.00711148],C_2
David Johnson,10.9995963,77.055309,7,[11.0320363  77.05078642],C_7
Katherine Carney,10.9647842,76.9852664,6,[10.95437625 76.97053033],C_6
Rachel Spencer,10.9676378,77.0056989,6,[10.95437625 76.97053033],C_6
Kathleen Cook MD,11.0434398,77.0454723,7,[11.0320363  77.05078642],C_7
Scott Schneider,11.0130214,77.0098908,2,[11.00793952 77.00711148],C_2
Crystal Lewis,11.0219202,77.0080288,2,[11.00793952 77.00711148],C_2
Lauren Williams,10.9565943,76.9874532,6,[10.95437625 76.97053033],C_6
Zoe Williams,10.9906801,76.9568926,1,[10.99032947 76.94906085],C_1
Amy Beltran,11.0265166,76.9302688,3,[11.02518256 76.91014288],C_3
Valerie Page,11.0316977,76.9577979,4,[11.03458701 76.96008318],C_4
Garrett Soto,11.0100504,77.0062203,2,[11.00793952 77.00711148],C_2
Carmen Garcia,11.0278032,76.9600356,4,[11.03458701 76.96008318],C_4
Joshua Thomas,11.0417144,76.9702001,4,[11.03458701 76.96008318],C_4
Jeremy Moore,10.9476383,76.9714928,6,[10.95437625 76.97053033],C_6
Alice Walton,11.0398743,77.0010132,5,[11.06430224 77.0049296 ],C_5
Brittany Wheeler,10.9710314,76.8914189,3,[11.02518256 76.91014288],C_3
Larry Rivera,11.0415217,76.976775,4,[11.03458701 76.96008318],C_4
Marc Coleman,11.029827,76.9307855,3,[11.02518256 76.91014288],C_3
Derek Cohen,11.0086937,77.0027103,2,[11.00793952 77.00711148],C_2
Stacey Guerrero,11.0306329,76.8910746,3,[11.02518256 76.91014288],C_3
Patrick Smith,10.9563833,76.965705,6,[10.95437625 76.97053033],C_6
John Allen,11.0287574,76.9588257,4,[11.03458701 76.96008318],C_4
Eric Taylor,10.9861695,76.9377491,1,[10.99032947 76.94906085],C_1
Sandra Wade,11.0827733,77.0055481,5,[11.06430224 77.0049296 ],C_5
Deborah Hudson,11.0030043,76.9921628,2,[11.00793952 77.00711148],C_2
Julie Bishop,10.9776559,77.0332263,2,[11.00793952 77.00711148],C_2
Patricia Brooks,11.0271325,76.962372,4,[11.03458701 76.96008318],C_4
Crystal Weaver,11.0389306,76.9676046,4,[11.03458701 76.96008318],C_4
Darlene Hamilton,10.9471436,76.9309085,6,[10.95437625 76.97053033],C_6
Jennifer Rodriguez,10.9474979,76.9560371,6,[10.95437625 76.97053033],C_6
Angela Dudley,10.9936934,76.9582522,1,[10.99032947 76.94906085],C_1
Brooke Reynolds,11.0053603,77.0619815,7,[11.0320363  77.05078642],C_7
Michael Daugherty,11.0159334,76.9251148,3,[11.02518256 76.91014288],C_3
Aimee Dyer,11.048392,76.9686814,4,[11.03458701 76.96008318],C_4
Justin Morris,10.997139,76.959085,1,[10.99032947 76.94906085],C_1
Kelly Murray,11.0368107,76.8911729,3,[11.02518256 76.91014288],C_3
Nicholas Villa,10.9588517,76.9287763,1,[10.99032947 76.94906085],C_1
Carol Young,11.0147186,77.0187347,2,[11.00793952 77.00711148],C_2
Brian Wolf,11.0456218,76.9747108,4,[11.03458701 76.96008318],C_4
Ashley Harris,10.9488682,76.9537847,6,[10.95437625 76.97053033],C_6
Janet Sosa,11.0235796,76.8894059,3,[11.02518256 76.91014288],C_3
Rebecca Duffy,10.9715173,76.8866885,3,[11.02518256 76.91014288],C_3
Jennifer Clark,11.0540189,77.0235191,5,[11.06430224 77.0049296 ],C_5
Shannon Hancock,10.9778434,77.0353439,2,[11.00793952 77.00711148],C_2
Joseph Cortez,11.0614614,77.0026398,5,[11.06430224 77.0049296 ],C_5
Samantha Harmon,11.0167517,77.0188333,2,[11.00793952 77.00711148],C_2
Juan Zimmerman,11.0244775,76.9620165,4,[11.03458701 76.96008318],C_4
Brooke Jones,11.0198785,76.9657686,4,[11.03458701 76.96008318],C_4
Elizabeth Ellis,11.061462,76.9506138,4,[11.03458701 76.96008318],C_4
Dakota Johnson DDS,11.0541681,77.0423556,7,[11.0320363  77.05078642],C_7
Christopher Mcdowell,11.028339,76.8978099,3,[11.02518256 76.91014288],C_3
Kimberly Daniels,11.035448,76.9252333,3,[11.02518256 76.91014288],C_3
Ryan Warren,11.0019785,77.0267713,2,[11.00793952 77.00711148],C_2
Teresa Sims,11.0345937,76.9285847,3,[11.02518256 76.91014288],C_3
Mark Ryan,11.0263008,76.9556385,4,[11.03458701 76.96008318],C_4
Marie Baker,10.9961431,76.99274,2,[11.00793952 77.00711148],C_2
Ashley Thompson,11.0354168,76.9746117,4,[11.03458701 76.96008318],C_4
Kelly Smith,11.0555085,77.0023139,5,[11.06430224 77.0049296 ],C_5
Adam Lopez,11.0378063,76.8913979,3,[11.02518256 76.91014288],C_3
Mandy Werner,11.0193379,76.9668306,4,[11.03458701 76.96008318],C_4
Morgan Jenkins,11.0161966,76.921212,3,[11.02518256 76.91014288],C_3
Omar Cole,10.9560106,76.9718566,6,[10.95437625 76.97053033],C_6
Angel Davila,10.9564402,76.9719315,6,[10.95437625 76.97053033],C_6
Kristine Williams,11.0970315,77.0191455,5,[11.06430224 77.0049296 ],C_5
Jared Moreno,10.9612578,76.9926527,6,[10.95437625 76.97053033],C_6
Brian Jones,11.0127004,76.9994848,2,[11.00793952 77.00711148],C_2
Tamara Glenn,10.990717,76.9919804,2,[11.00793952 77.00711148],C_2
Alan Kirk,10.9718911,76.9684856,6,[10.95437625 76.97053033],C_6
Katelyn Peck,11.0325604,76.9554692,4,[11.03458701 76.96008318],C_4
April Richardson,10.9983075,76.9528875,1,[10.99032947 76.94906085],C_1
Edwin Roberts,11.0207091,76.9663553,4,[11.03458701 76.96008318],C_4
Jay Rogers,11.0515831,76.9433166,4,[11.03458701 76.96008318],C_4
John Le,10.9704816,76.9717141,6,[10.95437625 76.97053033],C_6
Maria Holt,11.0627048,76.99355,5,[11.06430224 77.0049296 ],C_5
Tracy Castillo,11.0079066,76.9459249,1,[10.99032947 76.94906085],C_1
Donna Case,10.9647515,76.999002,6,[10.95437625 76.97053033],C_6
Charles Mccullough,10.9614714,76.9780399,6,[10.95437625 76.97053033],C_6
Gary Berry,11.0075055,76.9450859,1,[10.99032947 76.94906085],C_1
Sarah Pacheco,10.9997804,77.033854,2,[11.00793952 77.00711148],C_2
Ashley Little,11.0534656,77.06189,7,[11.0320363  77.05078642],C_7
April Singh,10.9865104,76.9368934,1,[10.99032947 76.94906085],C_1
James Rojas,10.9911901,76.9628858,1,[10.99032947 76.94906085],C_1
Peggy Hawkins,10.9848879,76.9400776,1,[10.99032947 76.94906085],C_1
Amy Diaz,11.0099998,77.0079962,2,[11.00793952 77.00711148],C_2
Nichole Lewis,10.9969789,76.9576149,1,[10.99032947 76.94906085],C_1
William Vasquez,11.0012896,77.03058,2,[11.00793952 77.00711148],C_2
Matthew Moreno,11.045616,76.9277272,3,[11.02518256 76.91014288],C_3
Darlene Huynh,11.0461872,76.9501776,4,[11.03458701 76.96008318],C_4
Daniel Crawford,10.9929076,76.9884815,2,[11.00793952 77.00711148],C_2
Adam Taylor,10.9883433,76.9702851,1,[10.99032947 76.94906085],C_1
Teresa Finley,10.9941188,76.9580534,1,[10.99032947 76.94906085],C_1
Valerie Thomas,11.0497077,76.9830592,5,[11.06430224 77.0049296 ],C_5
Lori Brown,10.9475362,76.956046,6,[10.95437625 76.97053033],C_6
Mary Aguilar,11.054688,77.0513527,7,[11.0320363  77.05078642],C_7
Ricky Robinson,10.9651344,76.9860938,6,[10.95437625 76.97053033],C_6
Kathy Mack,11.0282733,76.8833333,3,[11.02518256 76.91014288],C_3
Christopher Martin,11.035374,76.9758924,4,[11.03458701 76.96008318],C_4
Grace Cabrera,10.9961686,76.9308911,1,[10.99032947 76.94906085],C_1
Stephanie Washington,10.9896385,76.9342234,1,[10.99032947 76.94906085],C_1
Richard Sharp,11.0260171,76.9510329,4,[11.03458701 76.96008318],C_4
Mr. Ryan Smith,10.955019,76.9721517,6,[10.95437625 76.97053033],C_6
Martha Rodriguez,10.9582882,76.9511688,6,[10.95437625 76.97053033],C_6
Samantha Jordan,11.0309237,76.9637293,4,[11.03458701 76.96008318],C_4
Corey Soto DDS,11.0060263,76.9129611,3,[11.02518256 76.91014288],C_3
Darrell Richmond,11.0435608,76.9978613,5,[11.06430224 77.0049296 ],C_5
Laurie Hanna,10.9872277,76.9743221,1,[10.99032947 76.94906085],C_1
William Armstrong,10.9821701,76.9675066,1,[10.99032947 76.94906085],C_1
Sierra Williams,11.0578236,77.0051514,5,[11.06430224 77.0049296 ],C_5
Chelsea Wilkins,11.0190759,77.0642397,7,[11.0320363  77.05078642],C_7
Carla Carroll,10.9475026,76.9560148,6,[10.95437625 76.97053033],C_6
Christopher Quinn,10.9918552,76.9910752,2,[11.00793952 77.00711148],C_2
Karen Lee,11.0274968,76.9550542,4,[11.03458701 76.96008318],C_4
Jean Reid,11.0782699,77.0372015,5,[11.06430224 77.0049296 ],C_5
Sarah Armstrong,10.9893465,76.9478032,1,[10.99032947 76.94906085],C_1
Teresa Villanueva,11.0631904,76.9821276,5,[11.06430224 77.0049296 ],C_5
Benjamin Skinner,11.0227821,76.9069282,3,[11.02518256 76.91014288],C_3
Jordan Taylor,10.983466,76.9639398,1,[10.99032947 76.94906085],C_1
Monica Miller,11.0186507,76.9881094,2,[11.00793952 77.00711148],C_2
Carl Schultz,10.9979623,76.9470722,1,[10.99032947 76.94906085],C_1
Nicole Torres,10.9967135,76.9513667,1,[10.99032947 76.94906085],C_1
Edward Smith,11.0875871,77.0130773,5,[11.06430224 77.0049296 ],C_5
Nancy Martin,11.0481233,76.9929088,5,[11.06430224 77.0049296 ],C_5
Jacqueline Chavez MD,11.0322535,76.9300072,3,[11.02518256 76.91014288],C_3
Virginia Hurst,11.0354856,76.9557855,4,[11.03458701 76.96008318],C_4
Angela Miller,11.0788674,77.0038552,5,[11.06430224 77.0049296 ],C_5
Gloria Robinson,11.0225733,76.9593167,4,[11.03458701 76.96008318],C_4
Selena Martinez,11.0305268,76.9532334,4,[11.03458701 76.96008318],C_4
Steven Henderson,10.9914045,76.9646133,1,[10.99032947 76.94906085],C_1
Kaitlyn Gilmore,11.0270028,76.9597881,4,[11.03458701 76.96008318],C_4
Mr. Randall Williams,11.0621034,77.0431115,7,[11.0320363  77.05078642],C_7
Elizabeth Jennings,10.9032383,76.96321,0,[10.90632173 76.96935831],C_0
Benjamin Richardson,10.9769505,76.9162286,1,[10.99032947 76.94906085],C_1
Matthew Levy,11.041046,76.9419246,4,[11.03458701 76.96008318],C_4
Sarah Gonzalez,11.0395117,77.0012771,5,[11.06430224 77.0049296 ],C_5
Bethany Cooper,11.0270866,76.9863976,4,[11.03458701 76.96008318],C_4
Kimberly Gibson,11.0139515,76.9547503,4,[11.03458701 76.96008318],C_4
Douglas Werner,11.0549543,77.0645033,7,[11.0320363  77.05078642],C_7
Katherine Delgado,11.028769,76.9584952,4,[11.03458701 76.96008318],C_4
Andrew Hernandez,11.058042,76.996419,5,[11.06430224 77.0049296 ],C_5
Steve Bond,10.90695,77.0050933,0,[10.90632173 76.96935831],C_0
Anthony Brown,11.038933,76.9533425,4,[11.03458701 76.96008318],C_4
Emily Bradley,10.98724,76.9729521,1,[10.99032947 76.94906085],C_1
Lauren Perez,10.9872979,76.9714017,1,[10.99032947 76.94906085],C_1
Steven Nguyen,11.0515603,77.0406635,7,[11.0320363  77.05078642],C_7
Paula Wilcox,11.0496797,76.9902222,5,[11.06430224 77.0049296 ],C_5
Anthony Baker,10.9426451,76.9533744,6,[10.95437625 76.97053033],C_6
Kimberly Myers,10.9934105,76.9581624,1,[10.99032947 76.94906085],C_1
Daniel Friedman,11.0317123,76.9993031,2,[11.00793952 77.00711148],C_2
Nicole King,11.0284029,76.9538583,4,[11.03458701 76.96008318],C_4
Brandi Cross,11.0409757,77.0053803,5,[11.06430224 77.0049296 ],C_5
Kevin Romero,11.0285277,76.9010617,3,[11.02518256 76.91014288],C_3
Edwin Guerrero,11.0078513,77.0150957,2,[11.00793952 77.00711148],C_2
Patricia Rodgers,11.0281549,76.9604635,4,[11.03458701 76.96008318],C_4
Kenneth Nguyen,11.0462583,76.9552997,4,[11.03458701 76.96008318],C_4
Tammy Mason,11.0270278,76.9878887,2,[11.00793952 77.00711148],C_2
David Gould,11.0175584,76.9217912,3,[11.02518256 76.91014288],C_3
Steven Ford,11.025735,77.0180482,2,[11.00793952 77.00711148],C_2
Spencer Atkins,11.0075224,77.0099795,2,[11.00793952 77.00711148],C_2
Monique Morrison,11.0438419,77.0034034,5,[11.06430224 77.0049296 ],C_5
April Garcia,11.0374672,76.9679472,4,[11.03458701 76.96008318],C_4
Tyler Stevens DDS,10.9595371,76.9804597,6,[10.95437625 76.97053033],C_6
Robert Lee,10.9935891,76.993581,2,[11.00793952 77.00711148],C_2
Mitchell Davis,11.0367078,76.9210862,3,[11.02518256 76.91014288],C_3
Valerie Williams,11.0200267,76.9664067,4,[11.03458701 76.96008318],C_4
Marissa Ward,10.902827,76.9982057,0,[10.90632173 76.96935831],C_0
Margaret Mercer,10.9492096,76.9564869,6,[10.95437625 76.97053033],C_6
Chelsea Carroll,11.0596222,76.9445181,4,[11.03458701 76.96008318],C_4
Ann Smith,10.9634546,76.9851549,6,[10.95437625 76.97053033],C_6
Victor West,11.0465651,76.93612,4,[11.03458701 76.96008318],C_4
Michael Brewer,10.9590276,76.9723961,6,[10.95437625 76.97053033],C_6
Joseph Burke,11.0432543,76.9425683,4,[11.03458701 76.96008318],C_4
Matthew Rowe,11.0616167,76.9508267,4,[11.03458701 76.96008318],C_4
Jason Curry,10.954753,76.9919981,6,[10.95437625 76.97053033],C_6
Jamie Peck,11.0269535,76.9467574,4,[11.03458701 76.96008318],C_4
Sarah Martin,11.0290291,76.9459056,4,[11.03458701 76.96008318],C_4
Kara Suarez,11.0384827,76.8702976,3,[11.02518256 76.91014288],C_3
Rebecca Cook,10.9965253,76.9577334,1,[10.99032947 76.94906085],C_1
Elizabeth Black,10.9994831,76.9512028,1,[10.99032947 76.94906085],C_1
Lauren Smith,11.0632006,76.9916724,5,[11.06430224 77.0049296 ],C_5
Kimberly Mccormick,10.9903918,76.9541362,1,[10.99032947 76.94906085],C_1
Andrew Watson,10.9150612,76.9483635,0,[10.90632173 76.96935831],C_0
Daniel Bonilla,10.9878583,76.937904,1,[10.99032947 76.94906085],C_1
John Lowery,11.0747501,76.9402738,4,[11.03458701 76.96008318],C_4
Jessica Velez,10.9942456,76.9574744,1,[10.99032947 76.94906085],C_1
Phillip Kramer,11.0073862,77.0495377,7,[11.0320363  77.05078642],C_7
Luis Hamilton,11.0241754,76.8954186,3,[11.02518256 76.91014288],C_3
Mitchell Anderson,11.0071532,76.9647167,1,[10.99032947 76.94906085],C_1
Kristen Chase,10.9477421,76.9542569,6,[10.95437625 76.97053033],C_6
Kelly Green,10.9903374,76.9403273,1,[10.99032947 76.94906085],C_1
Jesse Williams,11.0626076,76.991534,5,[11.06430224 77.0049296 ],C_5
Rita Rice,11.0626498,76.9926782,5,[11.06430224 77.0049296 ],C_5
Andrew Perry,11.0275148,76.9948071,2,[11.00793952 77.00711148],C_2
James Jones,11.0244133,77.0011683,2,[11.00793952 77.00711148],C_2
Matthew Kane,10.9934467,76.9579292,1,[10.99032947 76.94906085],C_1
Erin Brown,11.0278067,76.9037195,3,[11.02518256 76.91014288],C_3
William Ramirez,11.0655478,77.0055557,5,[11.06430224 77.0049296 ],C_5
Kenneth Vasquez,11.0369552,76.9211106,3,[11.02518256 76.91014288],C_3
Jason Pope,11.0036325,76.9937379,2,[11.00793952 77.00711148],C_2
Andrew Fuller,11.0750409,77.0020158,5,[11.06430224 77.0049296 ],C_5
Heidi White,11.0228892,76.9455384,4,[11.03458701 76.96008318],C_4
Brian Graham,11.0292829,77.0019598,2,[11.00793952 77.00711148],C_2
Brittany Beard,11.0275032,76.9042736,3,[11.02518256 76.91014288],C_3
Julie Harrell,10.9989034,77.0510396,7,[11.0320363  77.05078642],C_7
Michael Torres,10.9962832,76.9579552,1,[10.99032947 76.94906085],C_1
Todd Ward,11.0333706,76.9576421,4,[11.03458701 76.96008318],C_4
Kristina Delgado,10.9950019,76.9592356,1,[10.99032947 76.94906085],C_1
Kenneth Riddle,10.9425401,76.9534116,6,[10.95437625 76.97053033],C_6
Thomas Gibbs,10.9899683,76.959092,1,[10.99032947 76.94906085],C_1
Rachel Shea,11.0280061,77.0141745,2,[11.00793952 77.00711148],C_2
Colleen Adams,10.989649,76.9992508,2,[11.00793952 77.00711148],C_2
